phase,command,displayName,description,agent
4-implementation,/gaia-fix-story,Fix Story,Fix story issues flagged by validation,sm
4-implementation,/gaia-knowledge-refresh,Knowledge Refresh,"Re-fetch ingested sources and replace only what changed — hash-gated three-way reconcile (skip on match, overwrite on diff, mark failed and preserve stale file)",orchestrator
4-implementation,/gaia-list-tools,List Tools,"Enumerate every tool adapter (built-in + custom) grouped by category, with three-state availability",orchestrator
4-implementation,/gaia-refresh-ground-truth,Refresh Ground Truth,Rescan filesystem and update ground truth,validator
4-implementation,/gaia-retro,Retrospective,Post-sprint retrospective,sm
4-implementation,/gaia-review-a11y,Accessibility Review,Pre-merge a11y gate (conditional on compliance.ui_present) — WCAG 2.1,ux-designer
4-implementation,/gaia-review-all,Run All Reviews,Runs all 6 review workflows sequentially via subagents,orchestrator
4-implementation,/gaia-review-code,Code Review,Perform code review,dev-*
4-implementation,/gaia-review-mobile,Mobile Review,"Pre-merge mobile review gate — manifest, entitlements, signing, store metadata, privacy manifest, universal-links validators",mobile-dev
4-implementation,/gaia-review-qa,QA Generate Tests,Generate automated QA tests,qa
4-implementation,/gaia-review-security,Security Review,OWASP security review (pre-merge gate and anytime task),security
4-implementation,/gaia-sprint-close,Sprint Close,"Close the active sprint — mark sprint-status.yaml closed, archive it, emit sprint_closed event",sm
4-implementation,/gaia-sprint-plan,Sprint Planning,Plan sprint from epics and stories,sm
4-implementation,/gaia-sprint-review,Sprint Review,"End-of-sprint review — validation + execution tracks, composite verdict; routes to /gaia-sprint-close (PASSED) or /gaia-correct-course (FAILED)",sm
4-implementation,/gaia-sprint-status,Sprint Status,Show current sprint status,sm
4-implementation,/gaia-tool-info,Tool Info,Render full adapter.json metadata + availability for one named tool adapter,orchestrator
4-implementation,/gaia-triage-findings,Triage Findings,Triage development findings into backlog stories,sm
4-implementation,/gaia-unfeed,Unfeed,"Remove an ingested document from the Brain knowledge layer — delete ingested file, de-register brain-index entry, re-render MOC",orchestrator
4-implementation,/gaia-val-validate,Validate Artifact,Validate artifact against codebase and ground truth,validator
4-implementation,/gaia-val-validate-plan,Validate Plan,Validate implementation plan before execution,validator
4-implementation,/gaia-validate-rubric,Validate Rubric,Validate a single rubric file (JSON or YAML) against rubric.schema.json,validator
4-implementation,/gaia-validate-story,Validate Story,Full story validation with factual verification,validator
5-deployment,/gaia-deploy,Deploy,"Deployment orchestrator — pre-deploy gate, adapter-mediated deploy, health check, post-deploy smoke, final verdict (no auto-rollback)",devops
5-deployment,/gaia-deploy-checklist,Deployment Checklist,Pre-deployment verification checklist,devops
5-deployment,/gaia-deploy-post,Post-Deploy Verify,Post-deployment health validation,devops
5-deployment,/gaia-release-plan,Release Plan,Staged rollout and release strategy,devops
5-deployment,/gaia-rollback-plan,Rollback Plan,Rollback trigger criteria and procedures,devops
5-deployment,/gaia-test-a11y,Accessibility Testing,Post-deploy a11y smoke (axe-core/pa11y/Lighthouse adapters),test-architect
quick-flow,/gaia-quick-dev,Quick Dev,Implement a quick spec,dev-*
quick-flow,/gaia-quick-spec,Quick Spec,Create a quick tech spec,dev-*
anytime,/gaia-atdd,ATDD,Generate failing acceptance tests,test-architect
anytime,/gaia-brainstorming,Brainstorming,Facilitated brainstorming session,orchestrator
anytime,/gaia-bridge-enable,Bridge Toggle,Enable or disable the Test Execution Bridge in global.yaml,orchestrator
anytime,/gaia-brownfield,Brownfield Onboarding,Onboard existing project to GAIA,orchestrator
anytime,/gaia-ci-edit,CI Edit,Edit ci_cd.promotion_chain in global.yaml (add/remove/edit/reorder environments),test-architect
anytime,/gaia-config-ci,CI Setup,Scaffold CI/CD quality pipeline,test-architect
anytime,/gaia-creative-sprint,Creative Sprint,Multi-agent creative pipeline: empathize → solve → innovate,orchestrator
anytime,/gaia-design-thinking,Design Thinking,Guide human-centered design process,design-thinking-coach
anytime,/gaia-document-project,Document Project,Document project for AI context,analyst
anytime,/gaia-edit-test-plan,Edit Test Plan,Edit an existing test plan — add test cases without regenerating,test-architect
anytime,/gaia-help,Help,Context-sensitive help with project-state-aware routing (greenfield / brownfield / post-update / healthy) — uses lib/framework-version.sh + stale-flag markers to detect drift state,orchestrator
anytime,/gaia-init,GAIA Init,Greenfield conversational setup — bootstrap project-config.yaml + starter CI,orchestrator
anytime,/gaia-innovation,Innovation Strategy,Identify disruption opportunities,innovation-strategist
anytime,/gaia-meeting,Meeting,"Peer-to-peer multi-agent discussion (seven-phase lifecycle, charter required, decide default mode, round-robin turn arbitration, state-free write boundary)",orchestrator
anytime,/gaia-memory-hygiene,Memory Hygiene,"Detect stale, contradicted, or superseded decisions in agent memory sidecars",orchestrator
anytime,/gaia-migrate,GAIA Migrate / Reconcile,v1-to-v2 migration AND v2-to-v2 config reconciliation via gaia-reconcile-v2.sh dispatch,orchestrator
anytime,/gaia-mobile-testing,Mobile Testing,Create mobile test plan covering devices and responsive testing,test-architect
anytime,/gaia-nfr,NFR Assessment,Assess non-functional requirements,test-architect
anytime,/gaia-party,Party Mode,Multi-agent group discussion,orchestrator
anytime,/gaia-perf-deepdive,Performance Review,Analyze performance bottlenecks,performance
anytime,/gaia-perf-testing,Performance Testing,Create performance test plan with load testing and CI gates,test-architect
anytime,/gaia-pitch-deck,Pitch Deck,Create investor/partner pitch deck,presentation-designer
anytime,/gaia-problem-solving,Problem Solving,Apply systematic problem-solving methodologies with resolution routing,problem-solver
anytime,/gaia-project-context,Generate Project Context,Generate project context for AI,analyst
anytime,/gaia-review-test,Test Review,Review test quality,test-architect
anytime,/gaia-slide-deck,Slide Deck,Create presentation slide deck,presentation-designer
anytime,/gaia-storytelling,Storytelling,Craft compelling narratives,storyteller
anytime,/gaia-teach-testing,Teach Me Testing,Teach testing progressively,test-architect
anytime,/gaia-test-automate,Test Automation,Expand automated test coverage,test-architect
anytime,/gaia-test-gap-analysis,Test Gap Analysis,Scan test suite against requirements to identify coverage gaps,test-architect
anytime,/gaia-test-manual,Manual Test,Agent-driven manual verification — exercises a target as a real user would (disambiguated from automated gaia-test-run),manual-tester
anytime,/gaia-test-run,Test Run,Manual any-environment test runner — honours test_execution.{tier}.placement; supports --tag/--story/--file targeting,test-architect
anytime,/gaia-trace,Traceability,Generate traceability matrix,test-architect
